松田用,,,,※自動変換,,,,⬇ 論文タイトルを入力,⬇ 発表種別を選択,⬇ 発表形態を選択,,,⬇ 学会名を入力,,,,,,,,,,⬇ 著者を入力,,,,,,,,,,,,,,,,,,,
FALSE,島津明人,研究代表者G,産業医学ジャーナル,2026/11/1,2026,11,1,ワーク・エンゲイジメントの向上：研究から実践・政策への展開,学術論文誌,,ja,無,産業医学ジャーナル,49,6,,,,,,,https://www.zsisz.or.jp/shop/periodical/2026/09/-2026-49-4-288.html,島津明人,,,,,,,,,,,,,,,,,,,,
FALSE,島津明人,研究代表者G,,-,2026,,,Dyadic and family associations of workaholism: Links to partner and child well-being,著書,,en,有,"Clark, M., Balducci, C., & Smith, R. (Eds.) Research Handbook on Workaholism in Organizations",,,,,,Edward Elgar Publishing,,,,島津明人,,,,,,,,,,,,,,,,,,,,
FALSE,島津明人,研究代表者G,公認心理師スタンダードテキストシリーズ20,2026/10/16,2026,10,16,公認心理師スタンダードテキストシリーズ⑳：産業・組織心理学,著書,,ja,無,公認心理師スタンダードテキストシリーズ20,,,,,JP,ミネルヴァ書房,,,https://ndlsearch.ndl.go.jp/books/R100000137-I9784623086306,下山晴彦,佐藤隆夫,本郷一夫,島津明人,,,,,,,,,,,,,,,,,
FALSE,島津明人,研究代表者G,Journal of Occupational and Environmental Medicine,2026/9/14,2026,9,14,Association between work engagement and obesity among workers in a large Japanese company,学術論文誌,,en,有,Journal of Occupational and Environmental Medicine,,,,,,,10.1097/JOM.0000000000003885,,https://doi.org/10.1097/JOM.0000000000003885,"Shimizu, A.","Tomooka, K.","Sato, S.","Shimazu, A.","Tanigawa, T.",,,,,,,,,,,,,,,,
FALSE,永田智久,逆境G,産業医学ジャーナル,2026/11/1,2026,11,1,組織マネジメントとエンゲージメント,学術論文誌,,ja,無,産業医学ジャーナル,49,6,,,,,,,https://www.zsisz.or.jp/shop/periodical/2026/09/-2026-49-4-288.html,永田智久,,,,,,,,,,,,,,,,,,,,
FALSE,森永雄太,組織G,産業医学ジャーナル,2026/11/1,2026,11,1,ジョブ・クラフティングとエンゲージメント,学術論文誌,,ja,無,産業医学ジャーナル,49,6,,,,,,,https://www.zsisz.or.jp/shop/periodical/2026/09/-2026-49-4-288.html,森永雄太,,,,,,,,,,,,,,,,,,,,
FALSE,池田浩,組織G,産業医学ジャーナル,2026/11/1,2026,11,1,サーバント・リーダーシップによる職場チームづくり,学術論文誌,,ja,無,産業医学ジャーナル,49,6,,,,,,,https://www.zsisz.or.jp/shop/periodical/2026/09/-2026-49-4-288.html,池田浩,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
